sector_name,dataset_id,row_id,dataset_name,publisher,dataset_type,information_requirements_satisfied,related_gpc_sector,geographic_coverage,geographic_granularity,granularity_class,temporal_coverage,update_frequency,data_format,open_restricted,license,api_available,download_url,documentation_url,short_description,limitations,confidence_level,authoritative_tier,data_tier,usage_type
Industrial processes,PHL-001,PHL-001-IV.1,Philippines Biennial Transparency Report (BTR1) — National GHG Inventories 2015 & 2020,Climate Change Commission (CCC) / UNFCCC,Emissions,"National GHG emissions/removals by Energy, Transport, AFOLU, IPPU, Waste; inventory methods and sectoral results",IV.1,Philippines (national),National,national,Inventory years 2015 and 2020 (BTR submitted 2025),BTR/NIR cycle (biennial target under EO 174),PDF (+ CTF tables),Open,Not identified (UNFCCC public),No,https://unfccc.int/sites/default/files/resource/%5BFinal%5D%20Philippine%20Biennial%20Transparency%20Report.pdf,https://unfccc.int/documents/646252,Official BTR1 consolidating 2015 and 2020 national GHG inventories under PGHGIMRS (EO 174).,National totals; not LGU boundary. Underlying agency microdata not fully published with BTR.,High,Primary official,Local + activity-based,validation
Industrial processes,PHL-002,PHL-002-IV.1,2015 and 2020 National GHGI Executive Brief / NICCDIES GHG portal,CCC / NICCDIES,Emissions,Executive summary of national inventories; sector roles; archiving portal for GHG inventory products,IV.1,Philippines,National,national,2015 & 2020 (brief July 2024),With inventory cycles,PDF / web,Open,Not identified,No,https://niccdies.climate.gov.ph/files/2015_and_2020_National_GHGI_Executive_Brief_b06d752442.pdf,https://niccdies.climate.gov.ph/ghg-inventory,National inventory executive brief and NICCDIES GHG inventory component for transparency/archiving.,Brief is summary; city inventories separate under LCCAP guidance.,High,Primary official,Local + activity-based,validation
Industrial processes,PHL-018,PHL-018-IV.1,Cement industry production/capacity disclosures (CeMAP / DTI context),Cement Manufacturers Association of the Philippines (CeMAP) / DTI citations,Activity,Cement production/capacity and import context for IPPU process emissions,IV.1,Philippines,National industry; plants not fully open individually,national,Industry announcements / market years ~2020–2025,Irregular public,Web / trade press / association,Partial Open,Not identified,No,https://www.datamintelligence.com/research-report/philippines-cement-market,https://niccdies.climate.gov.ph/ghg-inventory,Industry cement capacity/production figures used with BTR IPPU for process emissions.,Association microdata not fully open; plant geocoded EF tables incomplete publicly.,Medium,Industry association,Local + activity-based,local source
Industrial processes,PHL-019,PHL-019-IV.1,EDGAR GHG gridded & cities emissions,European Commission JRC,Emissions,Modeled sectoral GHG grids and city products,IV.1,Global including Philippines,0.1° / 1 km city products,modeled_grid,1970–2024,Periodic,NetCDF/CSV,Open,As stated by JRC,No,https://edgar.jrc.ec.europa.eu/emissions_data_and_maps,https://edgar.jrc.ec.europa.eu/,"Downscaling baseline only (OEF–C40/GCOM workshop, 14 Aug 2026): use EDGAR city/national coefficients to downscale national UNFCCC inventories for cities without local data. Not a primary source.","Modeled; methodological limitations acknowledged in OEF–C40/GCOM decision. Not a primary city inventory. Where local activity data or official inventories exist (DOE/PSA/BTR/LGU), those take precedence.",High,International modeled,International / global + downscaled,alternative international
Industrial processes,PHL-020,PHL-020-IV.1,Climate TRACE inventory,Climate TRACE,Emissions,Asset and urban-area emissions estimates,IV.1,Global including Philippines,Asset / urban area,modeled_grid,Monthly recent years,Periodic,CSV/API,Open,As stated by Climate TRACE,Yes,https://climatetrace.org/,https://climatetrace.org/,"Asset/urban emissions useful for power, industry, waste, transport gap-fill.",Not official; boundary mismatch with LGUs possible.,Medium,International modeled,International / global + downscaled,alternative international
Product use,PHL-001,PHL-001-IV.2,Philippines Biennial Transparency Report (BTR1) — National GHG Inventories 2015 & 2020,Climate Change Commission (CCC) / UNFCCC,Emissions,"National GHG emissions/removals by Energy, Transport, AFOLU, IPPU, Waste; inventory methods and sectoral results",IV.2,Philippines (national),National,national,Inventory years 2015 and 2020 (BTR submitted 2025),BTR/NIR cycle (biennial target under EO 174),PDF (+ CTF tables),Open,Not identified (UNFCCC public),No,https://unfccc.int/sites/default/files/resource/%5BFinal%5D%20Philippine%20Biennial%20Transparency%20Report.pdf,https://unfccc.int/documents/646252,Official BTR1 consolidating 2015 and 2020 national GHG inventories under PGHGIMRS (EO 174).,National totals; not LGU boundary. Underlying agency microdata not fully published with BTR.,High,Primary official,Local + activity-based,validation
Livestock,PHL-001,PHL-001-V.1,Philippines Biennial Transparency Report (BTR1) — National GHG Inventories 2015 & 2020,Climate Change Commission (CCC) / UNFCCC,Emissions,"National GHG emissions/removals by Energy, Transport, AFOLU, IPPU, Waste; inventory methods and sectoral results",V.1,Philippines (national),National,national,Inventory years 2015 and 2020 (BTR submitted 2025),BTR/NIR cycle (biennial target under EO 174),PDF (+ CTF tables),Open,Not identified (UNFCCC public),No,https://unfccc.int/sites/default/files/resource/%5BFinal%5D%20Philippine%20Biennial%20Transparency%20Report.pdf,https://unfccc.int/documents/646252,Official BTR1 consolidating 2015 and 2020 national GHG inventories under PGHGIMRS (EO 174).,National totals; not LGU boundary. Underlying agency microdata not fully published with BTR.,High,Primary official,Local + activity-based,validation
Livestock,PHL-002,PHL-002-V.1,2015 and 2020 National GHGI Executive Brief / NICCDIES GHG portal,CCC / NICCDIES,Emissions,Executive summary of national inventories; sector roles; archiving portal for GHG inventory products,V.1,Philippines,National,national,2015 & 2020 (brief July 2024),With inventory cycles,PDF / web,Open,Not identified,No,https://niccdies.climate.gov.ph/files/2015_and_2020_National_GHGI_Executive_Brief_b06d752442.pdf,https://niccdies.climate.gov.ph/ghg-inventory,National inventory executive brief and NICCDIES GHG inventory component for transparency/archiving.,Brief is summary; city inventories separate under LCCAP guidance.,High,Primary official,Local + activity-based,validation
Livestock,PHL-005,PHL-005-V.1,"PSA OpenSTAT — Energy, Agriculture, Environment databases",Philippine Statistics Authority (PSA),Activity,"Open statistical tables for energy, agriculture/forestry/fisheries, environment; allocation proxies",V.1,Philippines,National to regional/provincial depending on table,state_or_province,Multi-year PX-Web series,As PSA releases,PX-Web / CSV export,Open,Open (attribution required per OpenSTAT),Yes (PX-Web),https://openstat.psa.gov.ph/,https://openstat.psa.gov.ph/,National open statistics platform with energy and AFOLU-related tables usable for activity and allocation.,Coverage uneven across GPC needs; not utility meter data.,High,Primary official,Local + activity-based,local source
Livestock,PHL-012,PHL-012-V.1,PSA livestock & poultry / crops surveys (OpenSTAT Agriculture),PSA,Activity,Livestock and poultry inventory; crop area/production; farm statistics for AFOLU,V.1,Philippines,National/regional/provincial (survey design),state_or_province,Quarterly/annual livestock & crops series,Quarterly livestock; seasonal crops,PX-Web / PDF releases,Open,OpenSTAT terms,Yes,https://openstat.psa.gov.ph/Database/Agriculture-Forestry-Fisheries/Agricultural-Accounts,https://psa.gov.ph/,Official livestock and crop statistics — strong AFOLU activity foundation including rice systems.,Manure management detail limited; city herds need allocation; fertilizer maps incomplete.,High,Primary official,Local + activity-based,local source
Livestock,PHL-019,PHL-019-V.1,EDGAR GHG gridded & cities emissions,European Commission JRC,Emissions,Modeled sectoral GHG grids and city products,V.1,Global including Philippines,0.1° / 1 km city products,modeled_grid,1970–2024,Periodic,NetCDF/CSV,Open,As stated by JRC,No,https://edgar.jrc.ec.europa.eu/emissions_data_and_maps,https://edgar.jrc.ec.europa.eu/,"Downscaling baseline only (OEF–C40/GCOM workshop, 14 Aug 2026): use EDGAR city/national coefficients to downscale national UNFCCC inventories for cities without local data. Not a primary source.","Modeled; methodological limitations acknowledged in OEF–C40/GCOM decision. Not a primary city inventory. Where local activity data or official inventories exist (DOE/PSA/BTR/LGU), those take precedence.",High,International modeled,International / global + downscaled,alternative international
Livestock,PHL-021,PHL-021-V.1,FAOSTAT + Global Forest Watch / ESA WorldCover,FAO / WRI / ESA,Activity,International agriculture defaults; RS land/forest change for city overlays,V.1,Philippines,National (FAOSTAT); raster RS,modeled_grid,Long FAOSTAT; RS 2000–present,Annual,CSV/API/raster,Open,As stated by publishers,Yes,https://www.fao.org/faostat/en/#data,https://www.globalforestwatch.org/,International AFOLU and land-cover products complementing PSA/NAMRIA.,Definitions may differ from NAMRIA forest classes.,High,International,International + activity-based,alternative international
Land,PHL-001,PHL-001-V.2,Philippines Biennial Transparency Report (BTR1) — National GHG Inventories 2015 & 2020,Climate Change Commission (CCC) / UNFCCC,Emissions,"National GHG emissions/removals by Energy, Transport, AFOLU, IPPU, Waste; inventory methods and sectoral results",V.2,Philippines (national),National,national,Inventory years 2015 and 2020 (BTR submitted 2025),BTR/NIR cycle (biennial target under EO 174),PDF (+ CTF tables),Open,Not identified (UNFCCC public),No,https://unfccc.int/sites/default/files/resource/%5BFinal%5D%20Philippine%20Biennial%20Transparency%20Report.pdf,https://unfccc.int/documents/646252,Official BTR1 consolidating 2015 and 2020 national GHG inventories under PGHGIMRS (EO 174).,National totals; not LGU boundary. Underlying agency microdata not fully published with BTR.,High,Primary official,Local + activity-based,validation
Land,PHL-002,PHL-002-V.2,2015 and 2020 National GHGI Executive Brief / NICCDIES GHG portal,CCC / NICCDIES,Emissions,Executive summary of national inventories; sector roles; archiving portal for GHG inventory products,V.2,Philippines,National,national,2015 & 2020 (brief July 2024),With inventory cycles,PDF / web,Open,Not identified,No,https://niccdies.climate.gov.ph/files/2015_and_2020_National_GHGI_Executive_Brief_b06d752442.pdf,https://niccdies.climate.gov.ph/ghg-inventory,National inventory executive brief and NICCDIES GHG inventory component for transparency/archiving.,Brief is summary; city inventories separate under LCCAP guidance.,High,Primary official,Local + activity-based,validation
Land,PHL-005,PHL-005-V.2,"PSA OpenSTAT — Energy, Agriculture, Environment databases",Philippine Statistics Authority (PSA),Activity,"Open statistical tables for energy, agriculture/forestry/fisheries, environment; allocation proxies",V.2,Philippines,National to regional/provincial depending on table,state_or_province,Multi-year PX-Web series,As PSA releases,PX-Web / CSV export,Open,Open (attribution required per OpenSTAT),Yes (PX-Web),https://openstat.psa.gov.ph/,https://openstat.psa.gov.ph/,National open statistics platform with energy and AFOLU-related tables usable for activity and allocation.,Coverage uneven across GPC needs; not utility meter data.,High,Primary official,Local + activity-based,local source
Land,PHL-013,PHL-013-V.2,NAMRIA land cover / FMB Philippine Forestry Statistics / FRL,NAMRIA / DENR-FMB,Hybrid,Land cover and forest area/change; carbon accounting inputs; FRL for REDD+,V.2,Philippines,National map products; subnational forest stats,national,"Land cover epochs 2003, 2010, 2015, 2020; FRL document 2022",Multi-year mapping cycles,GIS / PDF statistics,Partial Open (stats open; GIS access varies),Not identified,No,https://redd.unfccc.int/files/philippine_frl_document_final_6dec2022.pdf,https://www.un-redd.org/sites/default/files/2021-10/01_02_03_Wevina_Manuel_RS_LU_Philippines.pdf,Official land-cover mapping and forestry statistics for LULUCF activity and emissions/removals.,City parcel carbon stocks need overlay; download portals for rasters may require NAMRIA procedures.,High,Primary official,Local + activity-based,local source
Land,PHL-019,PHL-019-V.2,EDGAR GHG gridded & cities emissions,European Commission JRC,Emissions,Modeled sectoral GHG grids and city products,V.2,Global including Philippines,0.1° / 1 km city products,modeled_grid,1970–2024,Periodic,NetCDF/CSV,Open,As stated by JRC,No,https://edgar.jrc.ec.europa.eu/emissions_data_and_maps,https://edgar.jrc.ec.europa.eu/,"Downscaling baseline only (OEF–C40/GCOM workshop, 14 Aug 2026): use EDGAR city/national coefficients to downscale national UNFCCC inventories for cities without local data. Not a primary source.","Modeled; methodological limitations acknowledged in OEF–C40/GCOM decision. Not a primary city inventory. Where local activity data or official inventories exist (DOE/PSA/BTR/LGU), those take precedence.",High,International modeled,International / global + downscaled,alternative international
Land,PHL-020,PHL-020-V.2,Climate TRACE inventory,Climate TRACE,Emissions,Asset and urban-area emissions estimates,V.2,Global including Philippines,Asset / urban area,modeled_grid,Monthly recent years,Periodic,CSV/API,Open,As stated by Climate TRACE,Yes,https://climatetrace.org/,https://climatetrace.org/,"Asset/urban emissions useful for power, industry, waste, transport gap-fill.",Not official; boundary mismatch with LGUs possible.,Medium,International modeled,International / global + downscaled,alternative international
Land,PHL-021,PHL-021-V.2,FAOSTAT + Global Forest Watch / ESA WorldCover,FAO / WRI / ESA,Activity,International agriculture defaults; RS land/forest change for city overlays,V.2,Philippines,National (FAOSTAT); raster RS,modeled_grid,Long FAOSTAT; RS 2000–present,Annual,CSV/API/raster,Open,As stated by publishers,Yes,https://www.fao.org/faostat/en/#data,https://www.globalforestwatch.org/,International AFOLU and land-cover products complementing PSA/NAMRIA.,Definitions may differ from NAMRIA forest classes.,High,International,International + activity-based,alternative international
Aggregate sources & non-CO₂ emissions sources on land,PHL-001,PHL-001-V.3,Philippines Biennial Transparency Report (BTR1) — National GHG Inventories 2015 & 2020,Climate Change Commission (CCC) / UNFCCC,Emissions,"National GHG emissions/removals by Energy, Transport, AFOLU, IPPU, Waste; inventory methods and sectoral results",V.3,Philippines (national),National,national,Inventory years 2015 and 2020 (BTR submitted 2025),BTR/NIR cycle (biennial target under EO 174),PDF (+ CTF tables),Open,Not identified (UNFCCC public),No,https://unfccc.int/sites/default/files/resource/%5BFinal%5D%20Philippine%20Biennial%20Transparency%20Report.pdf,https://unfccc.int/documents/646252,Official BTR1 consolidating 2015 and 2020 national GHG inventories under PGHGIMRS (EO 174).,National totals; not LGU boundary. Underlying agency microdata not fully published with BTR.,High,Primary official,Local + activity-based,validation
Aggregate sources & non-CO₂ emissions sources on land,PHL-005,PHL-005-V.3,"PSA OpenSTAT — Energy, Agriculture, Environment databases",Philippine Statistics Authority (PSA),Activity,"Open statistical tables for energy, agriculture/forestry/fisheries, environment; allocation proxies",V.3,Philippines,National to regional/provincial depending on table,state_or_province,Multi-year PX-Web series,As PSA releases,PX-Web / CSV export,Open,Open (attribution required per OpenSTAT),Yes (PX-Web),https://openstat.psa.gov.ph/,https://openstat.psa.gov.ph/,National open statistics platform with energy and AFOLU-related tables usable for activity and allocation.,Coverage uneven across GPC needs; not utility meter data.,High,Primary official,Local + activity-based,local source
Aggregate sources & non-CO₂ emissions sources on land,PHL-012,PHL-012-V.3,PSA livestock & poultry / crops surveys (OpenSTAT Agriculture),PSA,Activity,Livestock and poultry inventory; crop area/production; farm statistics for AFOLU,V.3,Philippines,National/regional/provincial (survey design),state_or_province,Quarterly/annual livestock & crops series,Quarterly livestock; seasonal crops,PX-Web / PDF releases,Open,OpenSTAT terms,Yes,https://openstat.psa.gov.ph/Database/Agriculture-Forestry-Fisheries/Agricultural-Accounts,https://psa.gov.ph/,Official livestock and crop statistics — strong AFOLU activity foundation including rice systems.,Manure management detail limited; city herds need allocation; fertilizer maps incomplete.,High,Primary official,Local + activity-based,local source
Aggregate sources & non-CO₂ emissions sources on land,PHL-019,PHL-019-V.3,EDGAR GHG gridded & cities emissions,European Commission JRC,Emissions,Modeled sectoral GHG grids and city products,V.3,Global including Philippines,0.1° / 1 km city products,modeled_grid,1970–2024,Periodic,NetCDF/CSV,Open,As stated by JRC,No,https://edgar.jrc.ec.europa.eu/emissions_data_and_maps,https://edgar.jrc.ec.europa.eu/,"Downscaling baseline only (OEF–C40/GCOM workshop, 14 Aug 2026): use EDGAR city/national coefficients to downscale national UNFCCC inventories for cities without local data. Not a primary source.","Modeled; methodological limitations acknowledged in OEF–C40/GCOM decision. Not a primary city inventory. Where local activity data or official inventories exist (DOE/PSA/BTR/LGU), those take precedence.",High,International modeled,International / global + downscaled,alternative international
Aggregate sources & non-CO₂ emissions sources on land,PHL-021,PHL-021-V.3,FAOSTAT + Global Forest Watch / ESA WorldCover,FAO / WRI / ESA,Activity,International agriculture defaults; RS land/forest change for city overlays,V.3,Philippines,National (FAOSTAT); raster RS,modeled_grid,Long FAOSTAT; RS 2000–present,Annual,CSV/API/raster,Open,As stated by publishers,Yes,https://www.fao.org/faostat/en/#data,https://www.globalforestwatch.org/,International AFOLU and land-cover products complementing PSA/NAMRIA.,Definitions may differ from NAMRIA forest classes.,High,International,International + activity-based,alternative international
Other Scope 3,PHL-023,PHL-023-VI.1,Family Income and Expenditure Survey (FIES) — energy-related expenditure,PSA,Activity,Household expenditure on electricity/fuels — residential supporting & Scope 3 proxies,VI.1,Philippines,National/regional; urban-rural,state_or_province,Multi-year FIES rounds,Every few years,PDF / microdata (may require request),Open (reports); microdata controlled,PSA terms,No,https://psa.gov.ph/,https://openstat.psa.gov.ph/,Official household survey with energy expenditure categories for residential supporting analysis.,Expenditure ≠ physical energy; not utility meters.,Medium,Primary official,Local + activity-based,local source
